;GSM237280.CEL;GSM237281.CEL;GSM237282.CEL;GSM237283.CEL;GSM237292.CEL;GSM237293.CEL;GSM237294.CEL;GSM237295.CEL;
267538_at;5.28791;5.72017;5.10965;5.21552;7.16077;6.80297;7.56859;7.81719;
267539_at;7.62332;7.65325;7.34517;7.32152;7.96356;8.48947;8.34775;8.0522;
267540_at;7.40098;7.19243;7.4843;7.29941;6.90982;6.99445;6.86815;7.05689;
267541_at;3.50736;3.46422;3.36701;3.41709;3.48183;3.60088;3.36835;3.59863;
267542_at;3.77151;3.90453;3.67796;3.63406;3.32198;3.64248;3.87773;3.87808;
267543_at;8.52981;8.63101;8.69623;8.79799;8.70197;9.27448;9.16746;8.73136;
267544_at;9.01013;8.87702;8.6887;8.69064;8.2445;7.71547;7.50999;7.59348;
267545_at;4.73198;4.20715;4.22896;4.12171;8.42833;7.77369;6.76296;8.22715;
267546_at;4.73811;4.61984;4.70099;4.5725;4.87107;4.85707;5.00098;4.8694;
267547_at;4.75324;4.67919;4.59799;4.44099;4.81705;4.63195;4.64968;4.58397;
267548_at;3.8027;3.68964;4.16636;4.29038;3.78433;3.86896;3.85978;3.90502;
267549_at;4.05484;4.28529;4.52453;4.17025;7.64812;7.63517;7.28674;7.55351;
267550_at;5.46705;5.36606;5.44082;5.28637;6.57011;6.57409;6.90399;6.78909;
267551_at;3.43899;3.41801;3.59163;3.48267;3.49715;3.35022;3.52871;3.46022;
267552_at;3.51088;3.45983;3.5967;3.44505;4.34359;3.92523;3.86194;3.87099;
267553_s_at;6.66829;6.89933;6.23538;6.69112;10.10667;10.03947;9.96124;9.98962;
267554_at;3.98724;3.91771;4.05972;3.77305;4.29198;4.53562;4.15758;4.02242;
267555_at;4.67454;4.7843;5.04076;5.06167;7.00734;5.91285;5.44087;6.01762;
267556_at;7.21475;7.08603;7.01118;7.18234;7.79751;7.76294;7.63663;7.59155;
267557_at;7.47342;7.22082;6.86883;6.58435;8.19499;8.04642;7.81495;7.99181;
267558_at;9.33;9.4461;9.31884;9.4363;8.40839;8.45944;8.59621;8.6423;
267559_at;3.84015;3.77782;3.80392;3.95388;4.3731;4.3544;4.08608;4.63971;
267560_at;4.92974;4.61727;4.73636;4.64734;4.55004;4.51438;4.34142;4.59682;
267561_at;6.17792;6.49993;6.22096;6.37466;7.65964;8.10617;8.02014;7.62618;
267527_at;3.93132;3.92671;3.89881;4.0045;4.02896;4.16321;4.35449;3.8793;
267528_at;3.36388;3.41615;3.4517;3.43781;3.69404;3.54198;3.40961;3.62124;
267529_at;5.42169;5.90384;5.50127;5.90013;5.64069;5.16871;5.12701;5.02329;
267498_at;8.70471;8.79392;8.23165;8.34267;7.2464;7.40918;7.31084;7.08907;
267499_at;6.37681;6.55946;6.45107;6.37759;5.98622;6.09457;6.31478;5.73352;
267500_s_at;8.11271;8.1338;8.02131;8.0078;5.59528;6.37005;7.05325;6.7896;
267501_at;8.49939;8.38785;8.4453;8.32327;7.87835;7.98114;7.57957;7.71906;
267502_at;3.3715;3.33543;3.6833;3.93203;3.47976;3.87871;3.93891;3.63538;
267503_at;4.6801;4.71248;4.60121;4.54613;6.69814;6.03615;6.28154;6.93669;
267504_at;7.49649;7.62111;6.94733;7.31613;7.51002;7.08424;7.19865;7.35165;
267505_at;4.52163;4.5754;4.48644;4.49232;6.32266;5.77062;5.5203;6.56931;
267506_at;8.32215;8.43744;8.37412;8.55033;8.8577;9.31274;9.13921;8.93187;
267507_at;8.62112;8.96861;8.73119;8.98534;8.72551;7.89845;7.98895;8.34138;
267508_at;6.54187;6.78778;6.33886;6.5325;7.42387;7.33833;7.28061;7.16356;
267509_at;5.8754;5.7104;5.03925;4.98609;5.84554;6.06566;6.30855;5.9068;
267510_at;9.10748;9.15228;9.24851;9.24209;8.90172;9.24205;9.22338;9.06806;
267511_at;9.361;8.22669;8.79302;8.14389;8.23683;7.47875;7.11578;8.19402;
267512_at;6.54147;6.75618;6.42448;6.62591;6.58111;6.68526;6.87465;6.8972;
267513_at;8.36329;8.38207;7.83085;7.99959;8.38341;8.62668;8.67945;8.41872;
267514_at;5.23011;5.1487;5.12266;4.88979;5.19336;4.39801;4.57518;5.24552;
267515_at;6.19973;5.95879;7.42341;7.39768;6.04698;5.86577;6.00994;6.26831;
267516_at;8.65655;7.8322;8.66252;7.85423;10.4935;9.38372;9.16964;10.0694;
267517_at;10.50337;10.40526;10.31318;10.40867;12.55458;12.51522;12.40023;12.50977;
267518_at;7.85441;8.15017;8.60069;8.80266;8.03847;8.6664;8.70405;8.27316;
267519_at;5.3472;5.45059;5.4983;5.58741;6.13472;5.97733;6.047;5.86588;
267520_at;7.18863;6.95805;7.09997;7.04813;7.19922;7.04353;6.9194;7.03014;
267521_at;4.02704;4.02282;4.05706;4.29322;4.20928;4.63215;4.41332;4.21659;
267522_at;3.1662;3.1587;3.30356;3.15108;3.25555;3.13405;3.24016;3.2358;
267523_at;8.6588;8.6259;8.03356;8.23205;8.69026;9.09098;8.05224;7.76231;
267524_at;7.99103;7.55057;7.67553;7.29797;7.45345;7.25391;6.29306;6.52802;
267525_at;5.1821;5.06566;5.22227;4.92059;5.47551;5.39689;5.80268;5.53828;
267526_at;7.42576;7.72469;6.79875;7.284;12.30272;12.53493;12.39849;12.37883;
267492_at;10.8424;10.78102;10.54986;10.604;9.70192;9.86213;9.69756;9.23038;
267493_at;4.54393;4.58118;4.18817;4.21196;3.48198;3.41947;3.26053;3.79677;
267494_at;9.79388;9.80507;9.26582;9.55911;9.27676;9.15246;9.16172;9.17948;
267495_at;3.52038;3.40247;3.80529;3.57996;4.30221;3.86939;3.80003;4.22777;
267496_at;7.35053;7.48106;7.52142;7.75008;6.91638;7.13919;7.16736;7.0908;
267497_at;4.54422;4.53405;4.62541;4.44157;6.68153;6.82799;6.46747;6.13098;
267467_at;5.834;6.18808;6.18175;6.24544;6.37287;6.89841;6.22907;6.01818;
267468_at;7.20154;7.21994;7.17859;7.23552;7.25582;7.20126;7.31577;7.29688;
267469_at;7.23486;7.21377;7.40343;7.25589;7.41016;7.76818;7.44994;7.1872;
267470_at;11.61216;11.5736;11.50998;11.37333;10.4505;10.16306;10.03346;10.03863;
267471_at;6.908;6.73619;6.9836;6.64192;9.51289;9.90951;9.79709;9.76578;
267472_at;7.82292;8.24319;7.06005;7.88585;5.08378;4.59836;4.7255;4.55557;
267473_at;4.32956;4.31455;4.17057;4.37939;3.85624;3.92948;4.16484;4.14938;
267474_at;4.67595;4.95081;4.99483;5.22897;6.55698;6.32993;5.80144;6.15478;
267475_at;5.44007;5.58785;5.61155;5.6201;4.98397;4.8284;4.49778;5.00458;
267476_at;3.24392;3.31553;3.30837;3.21694;3.5673;3.60874;3.49273;3.53787;
267477_at;9.26778;9.00508;8.13174;8.04677;8.76966;8.98756;8.75464;8.69551;
267478_at;4.38987;4.17986;5.0599;4.90968;3.43832;3.68624;3.62232;3.74827;
267479_at;4.51977;4.57888;4.60965;4.74062;4.34544;4.49328;4.26114;4.44757;
267480_at;3.82647;3.84187;3.88192;3.91815;3.94777;3.74189;3.74314;3.86615;
267481_at;5.96373;6.18847;5.96942;6.29757;6.87698;7.04609;7.00151;6.92495;
267482_s_at;3.7317;3.78866;3.85477;3.56112;4.22111;3.6688;4.16963;4.24676;
267483_at;6.52726;6.78529;6.78393;6.77906;6.82505;6.69978;6.84082;6.7096;
267484_at;11.13983;10.98907;11.10628;10.89753;10.45784;10.92297;11.20263;10.98618;
267485_at;4.878;4.02228;4.73915;4.02374;3.69564;3.82954;3.5266;3.45294;
267486_at;8.3005;8.28683;8.42976;8.41141;7.61174;7.95228;7.57806;7.66972;
267487_at;4.07091;3.98458;4.23705;3.97114;4.25917;4.14989;4.38176;3.89351;
267488_at;9.45083;9.52309;9.36825;9.43307;7.76177;8.33874;8.32728;7.70137;
267489_s_at;8.06836;7.46473;8.12949;7.60012;7.88095;7.94087;7.85887;8.22242;
267490_at;8.43503;8.31847;7.92865;8.12848;6.87435;6.98668;7.66769;7.17883;
267491_at;4.94417;4.71256;5.00046;4.76864;4.69843;4.78324;4.74266;4.70915;
267464_at;4.75161;4.49346;4.46509;4.40918;4.42218;4.18499;4.15641;4.13237;
267465_at;6.43288;6.43339;6.36924;6.27951;6.43008;6.79605;6.23015;6.25525;
267466_at;3.70329;3.80741;3.64653;3.64282;4.13837;3.91527;4.01943;4.18127;
267436_at;4.32508;4.42872;4.4399;4.48493;4.44647;4.49887;4.55519;4.37083;
267437_at;4.68911;4.82283;4.48876;4.48444;3.77521;3.84248;3.68612;3.74463;
267438_at;5.1865;5.23075;4.66857;4.64148;4.82598;4.49342;4.79334;4.80079;
267439_at;5.51696;5.50556;4.72786;4.87333;4.43929;4.33763;4.22029;4.44743;
267440_at;3.68967;3.77904;3.98532;3.67387;4.19215;4.32926;4.24106;4.67919;
267441_at;3.40668;3.64344;3.59256;3.59059;3.58867;3.66616;3.86175;3.73431;
267442_at;8.37942;8.58322;8.6467;8.6821;7.92205;7.7914;7.77386;7.86274;
267443_at;4.14849;3.99774;4.10658;4.03075;3.99443;4.14663;3.89802;4.00638;
267444_at;6.7968;6.80704;6.8745;6.6048;6.73259;5.45562;5.61275;6.68255;
267445_at;4.43472;4.27994;4.33259;4.52653;4.49404;4.88657;5.01634;4.5844;
267446_s_at;7.43335;7.25081;7.52495;7.57035;7.55446;7.47473;7.49077;7.55446;
267447_at;3.34504;3.26859;3.34323;3.59121;3.49299;3.25307;3.62231;3.22799;
267448_at;7.14978;7.00266;7.18288;6.93015;7.18841;7.22445;7.33552;7.52193;
267449_at;2.88509;2.86615;2.91563;2.93189;2.94456;2.83304;3.05544;2.95088;
267450_at;3.71344;3.52238;3.60085;3.52742;3.21502;3.42634;3.63423;3.5206;
267451_at;5.95758;5.74205;6.47818;6.36495;4.04147;4.15627;4.05139;4.1059;
267452_at;6.74171;6.58517;6.16448;6.32489;7.58186;7.60657;7.61897;7.5952;
267453_at;5.59634;5.4713;5.5792;5.29732;5.53007;5.60679;5.30791;5.56609;
267454_at;8.49391;8.52486;8.51564;8.54595;9.01047;9.27391;9.0767;8.96975;
267455_at;4.6801;4.72721;4.74518;4.81845;4.90702;5.07481;5.47823;4.79852;
267456_at;8.39882;8.37323;8.30977;8.23415;7.76268;7.90581;7.81598;7.83543;
267457_at;9.76587;9.85511;8.69209;8.83491;4.62715;4.33715;4.47919;4.43054;
267458_at;4.09206;3.92158;4.18;4.02372;3.63084;3.58468;4.05303;3.57321;
267459_at;8.85178;8.61685;6.54801;6.63246;9.19551;7.87411;7.86939;8.59618;
267460_at;4.14607;4.21488;3.81884;3.48444;5.70177;5.61764;5.5606;5.26625;
267461_at;11.46224;11.68242;9.62748;9.89112;6.88488;6.36565;5.28545;5.44167;
267462_at;5.04121;5.03434;5.19243;5.35827;6.02574;6.46845;6.5436;6.40253;
267463_at;8.31235;8.45271;8.33829;8.28239;7.47286;6.96569;7.0365;7.07901;
267435_at;8.00883;8.2866;7.30872;7.78192;11.83449;11.42084;11.39885;11.84213;
267404_at;4.36257;4.44296;4.5515;4.2724;4.67221;4.74578;4.79342;5.24247;
267405_at;8.16728;8.29296;8.29736;8.1842;7.98213;7.39164;7.42875;8.03823;
267406_at;5.90873;5.89506;5.69403;5.83274;6.76679;6.80924;6.89756;6.92229;
267407_at;4.38528;4.33064;4.33704;4.05167;4.25765;4.43935;4.51055;4.35764;
